in_source,in_amount_mmol,p_source,p_amount_mmol,first_sol,first_sol_amount_ml,TOP,TOP_amount_mmol,acid,acid_amount_mmol,amine,amine_amount_mmol,thiol,thiol_amount_mmol,zinc,zinc_amount_mmol,other,other_amount_mmol,total_volume_ml,temp_c,time_min,diameter_nm
indium myristate,0.1,tris(trimethylsilyl)phosphine,0.1,octadecene,8.0,None,0.0,None,0.0,None,0.0,dodecanethiol,0.05,zinc stearate,0.1,None,0.0,8.012,300,30.0,2.3
indium chloride,10.0,sodium phosphide,10.0,4-ethylpyridine,50.0,trioctylphosphine,44.84190017,None,0.0,None,0.0,None,0.0,None,0.0,None,0.0,70.0,130,2880.0,5
"indium tris(N,N?-diisopropylacetamidinato) ",0.9,tris(trimethylsilyl)phosphine,0.15,mesitylene,5.0,None,0.0,palmitic acid,0.3,hexadecylamine,0.3,None,0.0,None,0.0,None,0.0,5.077,150,1260.0,2
"indium tris(N,N?-diisopropylacetamidinato) ",0.9,tris(trimethylsilyl)phosphine,0.15,mesitylene,5.0,None,0.0,palmitic acid,0.3,hexadecylamine,0.3,None,0.0,None,0.0,None,0.0,5.077,230,1260.0,4.1
indium chloride,0.3,tris(dimethylamino)phosphine,0.08,None,0.0,None,0.0,None,0.0,oleylamine,15.2,None,0.0,zinc chloride,2.2,water,1.2,5.002,180,15.0,1.75
indium chloride,0.3,tris(dimethylamino)phosphine,0.08,None,0.0,None,0.0,None,0.0,oleylamine,15.2,None,0.0,zinc chloride,2.2,None,0.0,5.002,180,15.0,2.6
indium iodide,0.45,tris(diethylamino)phosphine,1.62,None,0.0,None,0.0,None,0.0,oleylamine,15.0,None,0.0,zinc chloride,2.2,None,0.0,4.936,180,30.0,2.8
indium bromide,0.45,tris(diethylamino)phosphine,1.62,None,0.0,None,0.0,None,0.0,oleylamine,15.0,None,0.0,zinc chloride,2.2,None,0.0,4.936,180,30.0,3
indium chloride,0.23,tris(diethylamino)phosphine,0.8,None,0.0,None,0.0,None,0.0,oleylamine,7.5,None,0.0,zinc chloride,1.1,None,0.0,2.468,180,20.0,3.2
indium chloride,0.45,tris(diethylamino)phosphine,1.62,None,0.0,None,0.0,None,0.0,oleylamine,15.0,None,0.0,zinc chloride,2.2,None,0.0,4.936,180,30.0,3.2
indium chloride,0.3,tris(dimethylamino)phosphine,1.2,None,0.0,None,0.0,None,0.0,oleylamine,4.3,None,0.0,zinc chloride,0.3,trioctylamine,4.3,1.415,220,0.5,3.6
indium chloride,0.3,tris(dimethylamino)phosphine,1.2,None,0.0,None,0.0,None,0.0,oleylamine,4.3,None,0.0,zinc chloride,0.3,trioctylamine,4.3,1.415,220,0.5,4.6
